id,difficulty,question,answer,reference
378,Easy,Who said Do unto others as you would have them to unto you?,Jesus,Matthew 7:12
381,Hard,"Who said I say to my servant, Go, and he goes?",A Centurion,Matthew 8:8
402,Easy,"Who said to whom: ""A person sees what is in front of his eyes but God sees the heart""?",God to Samuel,
363,Easy,"Who said, ""Lord, if it be thou, bid me come unto thee on the water?""",Peter,Matthew 14:28
447,Difficult,Who said: „Greater love hath no man than this that a man lay down his life for his friends“?,Jesus,
395,Easy,Who said: „How long will you waver between two opinions?”,Elijah on Mount Carmel,
397,Easy,"Who said: ""I myself and my house want to serve the Lord!”?",Joshua,
446,Difficult,Who said: „The LORD gave and the LORD hath taken away; blessed be the name of the LORD“?,Job,
214,Hard,Who suggested that Joseph interpret the dreams of Pharaoh?,The cupbearer,Gen 41:12–13
149,Easy,Who takes Jesus’s body off the cross?,Joseph of Arimathea,
190,Hard,Who wanted to kill Jesus when he was a baby?,Herod,
51,Easy,Who was Abram’s handmaid?,Hagar,
48,Easy,Who was Abram’s wife?,Sarai,
253,Easy,Who was assigned to make a sacrifice in behalf of all Israel during Old Testament times?,The High Priest,
62,Hard,Who was born first?,Esau came first with Jacob grabbing his heel,
377,Easy,Who was Caesar when Jesus was born?,Augustus,Luke 3:1
183,Easy,Who was David’s best friend?,Jonathan,
186,Hard,Who was David’s captain?,Joab,
188,Hard,Who was David’s son that started a rebellion against him?,Absalom,
194,Easy,Who was Joseph’s master in Egypt?,Potiphar,
217,Hard,Who was Moses’s father-in-law?,Jethro,Exod 3:1
192,Hard,Who was Solomon’s mother?,Bathsheba,
224,Hard,Who was the chief of the three mighty men of David?,Josheb-basshebeth,2 Sam 23:8
173,Easy,Who was the enemy who took the Ark of the Covenant?,Philistines,
301,Hard,Who was the father of John the Baptist?,Zechariah,
170,Easy,Who was the father-in-law of Caiaphas,the high priest at the time of Jesus’ death?,Annas
187,Hard,Who was the first born son of David?,Amnon,
171,Hard,Who was the first king of Israel?,Saul,
1,Easy,Who was the first man created by God?,Adam,Genesis 2:7
36,Easy,Who was the first man?,Adam,
131,Hard,Who was the first person to come upon the injured man in the parable of the Good Samaritan?,Priest,
53,Easy,Who was the first son he had?,Ishmael,
199,Easy,Who was the first son Jacob had with Rachel?,Joseph,
37,Easy,Who was the first woman?,Eve,
463,Hard,Who was the grandson of Samuel?,Heman,1 Chronicles 6:33
320,Hard,Who was the Hebrew judge that Delilah seduced to hand over to the Philistine army?,Samson,Judges 16:18-20
464,Hard,Who was the high priest during the time of Zechariah?,Joshua,Zech 6:10-11
15,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
156,Easy,Who was the king of Judea at the time of Jesus’ birth?,Herod the Great,
185,Hard,Who was the last king of Israel?,Hoshea,
11,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
242,Hard,Who was the most wicked king of Israel?,Ahab,1 Kgs 21:25
300,Hard,Who was the mother of John the Baptist?,Elizabeth,
200,Easy,Who was the mother of Moses?,Jochebed,
179,Hard,Who was the mother of Samuel?,Hannah,
462,Hard,Who was the priest of Bethel during the time of Amos?,Amaziah,Amos 7:10
13,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
169,Easy,Who was the Roman ruler when John the Baptist began his ministry?,Tiberius,
202,Easy,Who was the sister of Moses?,Miriam,
160,Easy,Who was the tax collector that climbed up a tree so he could see Jesus?,Zacchaeus,
455,Easy,Who watched as Moses floated in the basket down the Nile?,His Sister Miriam,Exodus 2:4
165,Hard,Who went with Paul on his first missionary journey?,Barnabas,
110,Easy,Who were Adam & Eve’s first children?,Cain & Abel,
319,Hard,Who were Moses' two siblings?,Miriam and Aaron,Exodus 15:20-21 and Exodus 6:16-20
82,Easy,Who were the first apostles called to follow Jesus?,Peter & Andrew,
437,Difficult,Who were the parents of king Josiah?,Amon and Jedidah,
87,Hard,Who worked as a tax collector before preaching the word of God?,Matthew,
456,Hard,Who would have nothing to do with the author of 3 John?,Diotrephes,3 John 1:9
152,Hard,Who wrote most of the books in the New Testament?,Paul,
153,Hard,Who wrote the Acts of the Apostles?,Luke,
84,Hard,Who wrote the Book of Revelation?,John,
290,Easy,Who wrote the Gospel of Mark?,Mark,
133,Hard,Whose example does Paul say Christians should follow in Chapter 5 of Ephesians?,Christ,
418,Easy,Whow as the grandmother of Jacob?,Sara,
118,Hard,Why did God send the ten plagues?,Pharaoh refused to let the Israelites free,
